subcatchment ,perc_greenroof,time,runoff_cfs
Subcatchment 45,0_perc,0.15,0
Subcatchment 45,0_perc,0.3,0
Subcatchment 45,0_perc,0.45,0
Subcatchment 45,0_perc,1,0
Subcatchment 45,0_perc,1.15,0
Subcatchment 45,0_perc,1.3,0
Subcatchment 45,0_perc,1.45,0
Subcatchment 45,0_perc,2,0
Subcatchment 45,0_perc,2.15,0
Subcatchment 45,0_perc,2.3,0
Subcatchment 45,0_perc,2.45,0
Subcatchment 45,0_perc,3,0
Subcatchment 45,0_perc,3.15,0
Subcatchment 45,0_perc,3.3,0
Subcatchment 45,0_perc,3.45,0
Subcatchment 45,0_perc,4,0
Subcatchment 45,0_perc,4.15,0
Subcatchment 45,0_perc,4.3,0
Subcatchment 45,0_perc,4.45,0
Subcatchment 45,0_perc,5,0
Subcatchment 45,0_perc,5.15,3.62
Subcatchment 45,0_perc,5.3,5.74
Subcatchment 45,0_perc,5.45,8.63
Subcatchment 45,0_perc,6,5.88
Subcatchment 45,0_perc,6.15,1.73
Subcatchment 45,0_perc,6.3,1.6
Subcatchment 45,0_perc,6.45,0.25
Subcatchment 45,0_perc,7,1.47
Subcatchment 45,0_perc,7.15,0.32
Subcatchment 45,0_perc,7.3,0.14
Subcatchment 45,0_perc,7.45,0.08
Subcatchment 45,0_perc,8,0.05
Subcatchment 45,0_perc,8.15,0.03
Subcatchment 45,0_perc,8.3,0.03
Subcatchment 45,0_perc,8.45,0.02
Subcatchment 45,0_perc,9,1.27
Subcatchment 45,0_perc,9.15,1.54
Subcatchment 45,0_perc,9.3,0.24
Subcatchment 45,0_perc,9.45,0.09
Subcatchment 45,0_perc,10,1.31
Subcatchment 45,0_perc,10.15,1.67
Subcatchment 45,0_perc,10.3,0.36
Subcatchment 45,0_perc,10.45,0.16
Subcatchment 45,0_perc,11,2.94
Subcatchment 45,20_perc,0.15,0
Subcatchment 45,20_perc,0.3,0
Subcatchment 45,20_perc,0.45,0
Subcatchment 45,20_perc,1,0
Subcatchment 45,20_perc,1.15,0
Subcatchment 45,20_perc,1.3,0
Subcatchment 45,20_perc,1.45,0
Subcatchment 45,20_perc,2,0
Subcatchment 45,20_perc,2.15,0
Subcatchment 45,20_perc,2.3,0
Subcatchment 45,20_perc,2.45,0
Subcatchment 45,20_perc,3,0
Subcatchment 45,20_perc,3.15,0
Subcatchment 45,20_perc,3.3,0
Subcatchment 45,20_perc,3.45,0
Subcatchment 45,20_perc,4,0
Subcatchment 45,20_perc,4.15,0
Subcatchment 45,20_perc,4.3,0
Subcatchment 45,20_perc,4.45,0
Subcatchment 45,20_perc,5,0
Subcatchment 45,20_perc,5.15,3.04
Subcatchment 45,20_perc,5.3,4.55
Subcatchment 45,20_perc,5.45,6.84
Subcatchment 45,20_perc,6,4.66
Subcatchment 45,20_perc,6.15,1.36
Subcatchment 45,20_perc,6.3,1.31
Subcatchment 45,20_perc,6.45,0.17
Subcatchment 45,20_perc,7,1.26
Subcatchment 45,20_perc,7.15,0.27
Subcatchment 45,20_perc,7.3,0.13
Subcatchment 45,20_perc,7.45,0.08
Subcatchment 45,20_perc,8,0.05
Subcatchment 45,20_perc,8.15,0.04
Subcatchment 45,20_perc,8.3,0.03
Subcatchment 45,20_perc,8.45,0.02
Subcatchment 45,20_perc,9,1.09
Subcatchment 45,20_perc,9.15,1.27
Subcatchment 45,20_perc,9.3,0.16
Subcatchment 45,20_perc,9.45,0.05
Subcatchment 45,20_perc,10,1.1
Subcatchment 45,20_perc,10.15,1.42
Subcatchment 45,20_perc,10.3,0.31
Subcatchment 45,20_perc,10.45,0.15
Subcatchment 45,20_perc,11,2.48
Subcatchment 45,30_perc,0.15,0
Subcatchment 45,30_perc,0.3,0
Subcatchment 45,30_perc,0.45,0
Subcatchment 45,30_perc,1,0
Subcatchment 45,30_perc,1.15,0
Subcatchment 45,30_perc,1.3,0
Subcatchment 45,30_perc,1.45,0
Subcatchment 45,30_perc,2,0
Subcatchment 45,30_perc,2.15,0
Subcatchment 45,30_perc,2.3,0
Subcatchment 45,30_perc,2.45,0
Subcatchment 45,30_perc,3,0
Subcatchment 45,30_perc,3.15,0
Subcatchment 45,30_perc,3.3,0
Subcatchment 45,30_perc,3.45,0
Subcatchment 45,30_perc,4,0
Subcatchment 45,30_perc,4.15,0
Subcatchment 45,30_perc,4.3,0
Subcatchment 45,30_perc,4.45,0
Subcatchment 45,30_perc,5,0
Subcatchment 45,30_perc,5.15,2.75
Subcatchment 45,30_perc,5.3,4.01
Subcatchment 45,30_perc,5.45,6.02
Subcatchment 45,30_perc,6,4.11
Subcatchment 45,30_perc,6.15,1.2
Subcatchment 45,30_perc,6.3,1.18
Subcatchment 45,30_perc,6.45,0.14
Subcatchment 45,30_perc,7,1.15
Subcatchment 45,30_perc,7.15,0.25
Subcatchment 45,30_perc,7.3,0.12
Subcatchment 45,30_perc,7.45,0.08
Subcatchment 45,30_perc,8,0.05
Subcatchment 45,30_perc,8.15,0.04
Subcatchment 45,30_perc,8.3,0.03
Subcatchment 45,30_perc,8.45,0.02
Subcatchment 45,30_perc,9,0.99
Subcatchment 45,30_perc,9.15,1.15
Subcatchment 45,30_perc,9.3,0.13
Subcatchment 45,30_perc,9.45,0.04
Subcatchment 45,30_perc,10,1
Subcatchment 45,30_perc,10.15,1.3
Subcatchment 45,30_perc,10.3,0.29
Subcatchment 45,30_perc,10.45,0.15
Subcatchment 45,30_perc,11,2.26
Subcatchment 45,50_perc,0.15,0
Subcatchment 45,50_perc,0.3,0
Subcatchment 45,50_perc,0.45,0
Subcatchment 45,50_perc,1,0
Subcatchment 45,50_perc,1.15,0
Subcatchment 45,50_perc,1.3,0
Subcatchment 45,50_perc,1.45,0
Subcatchment 45,50_perc,2,0
Subcatchment 45,50_perc,2.15,0
Subcatchment 45,50_perc,2.3,0
Subcatchment 45,50_perc,2.45,0
Subcatchment 45,50_perc,3,0
Subcatchment 45,50_perc,3.15,0
Subcatchment 45,50_perc,3.3,0
Subcatchment 45,50_perc,3.45,0
Subcatchment 45,50_perc,4,0
Subcatchment 45,50_perc,4.15,0
Subcatchment 45,50_perc,4.3,0
Subcatchment 45,50_perc,4.45,0
Subcatchment 45,50_perc,5,0
Subcatchment 45,50_perc,5.15,2.16
Subcatchment 45,50_perc,5.3,3.02
Subcatchment 45,50_perc,5.45,4.53
Subcatchment 45,50_perc,6,3.11
Subcatchment 45,50_perc,6.15,0.92
Subcatchment 45,50_perc,6.3,0.94
Subcatchment 45,50_perc,6.45,0.09
Subcatchment 45,50_perc,7,0.95
Subcatchment 45,50_perc,7.15,0.21
Subcatchment 45,50_perc,7.3,0.12
Subcatchment 45,50_perc,7.45,0.08
Subcatchment 45,50_perc,8,0.06
Subcatchment 45,50_perc,8.15,0.04
Subcatchment 45,50_perc,8.3,0.03
Subcatchment 45,50_perc,8.45,0.03
Subcatchment 45,50_perc,9,0.81
Subcatchment 45,50_perc,9.15,0.91
Subcatchment 45,50_perc,9.3,0.09
Subcatchment 45,50_perc,9.45,0.02
Subcatchment 45,50_perc,10,0.8
Subcatchment 45,50_perc,10.15,1.07
Subcatchment 45,50_perc,10.3,0.26
Subcatchment 45,50_perc,10.45,0.14
Subcatchment 45,50_perc,11,1.82
Subcatchment 47,0_perc,0.15,0
Subcatchment 47,0_perc,0.3,0
Subcatchment 47,0_perc,0.45,0
Subcatchment 47,0_perc,1,0
Subcatchment 47,0_perc,1.15,0
Subcatchment 47,0_perc,1.3,0
Subcatchment 47,0_perc,1.45,0
Subcatchment 47,0_perc,2,0
Subcatchment 47,0_perc,2.15,0
Subcatchment 47,0_perc,2.3,0
Subcatchment 47,0_perc,2.45,0
Subcatchment 47,0_perc,3,0
Subcatchment 47,0_perc,3.15,0
Subcatchment 47,0_perc,3.3,0
Subcatchment 47,0_perc,3.45,0
Subcatchment 47,0_perc,4,0
Subcatchment 47,0_perc,4.15,0
Subcatchment 47,0_perc,4.3,0
Subcatchment 47,0_perc,4.45,0
Subcatchment 47,0_perc,5,0
Subcatchment 47,0_perc,5.15,3.11
Subcatchment 47,0_perc,5.3,4.45
Subcatchment 47,0_perc,5.45,6.68
Subcatchment 47,0_perc,6,4.48
Subcatchment 47,0_perc,6.15,1.24
Subcatchment 47,0_perc,6.3,1.22
Subcatchment 47,0_perc,6.45,0.12
Subcatchment 47,0_perc,7,1.21
Subcatchment 47,0_perc,7.15,0.19
Subcatchment 47,0_perc,7.3,0.08
Subcatchment 47,0_perc,7.45,0.04
Subcatchment 47,0_perc,8,0.03
Subcatchment 47,0_perc,8.15,0.02
Subcatchment 47,0_perc,8.3,0.01
Subcatchment 47,0_perc,8.45,0.01
Subcatchment 47,0_perc,9,1.09
Subcatchment 47,0_perc,9.15,1.22
Subcatchment 47,0_perc,9.3,0.12
Subcatchment 47,0_perc,9.45,0.04
Subcatchment 47,0_perc,10,1.08
Subcatchment 47,0_perc,10.15,1.35
Subcatchment 47,0_perc,10.3,0.22
Subcatchment 47,0_perc,10.45,0.09
Subcatchment 47,0_perc,11,2.4
Subcatchment 47,20_perc,0.15,0
Subcatchment 47,20_perc,0.3,0
Subcatchment 47,20_perc,0.45,0
Subcatchment 47,20_perc,1,0
Subcatchment 47,20_perc,1.15,0
Subcatchment 47,20_perc,1.3,0
Subcatchment 47,20_perc,1.45,0
Subcatchment 47,20_perc,2,0
Subcatchment 47,20_perc,2.15,0
Subcatchment 47,20_perc,2.3,0
Subcatchment 47,20_perc,2.45,0
Subcatchment 47,20_perc,3,0
Subcatchment 47,20_perc,3.15,0
Subcatchment 47,20_perc,3.3,0
Subcatchment 47,20_perc,3.45,0
Subcatchment 47,20_perc,4,0
Subcatchment 47,20_perc,4.15,0
Subcatchment 47,20_perc,4.3,0
Subcatchment 47,20_perc,4.45,0
Subcatchment 47,20_perc,5,0
Subcatchment 47,20_perc,5.15,2.61
Subcatchment 47,20_perc,5.3,3.64
Subcatchment 47,20_perc,5.45,5.45
Subcatchment 47,20_perc,6,3.67
Subcatchment 47,20_perc,6.15,1.01
Subcatchment 47,20_perc,6.3,1.03
Subcatchment 47,20_perc,6.45,0.08
Subcatchment 47,20_perc,7,1.05
Subcatchment 47,20_perc,7.15,0.17
Subcatchment 47,20_perc,7.3,0.08
Subcatchment 47,20_perc,7.45,0.05
Subcatchment 47,20_perc,8,0.03
Subcatchment 47,20_perc,8.15,0.02
Subcatchment 47,20_perc,8.3,0.02
Subcatchment 47,20_perc,8.45,0.01
Subcatchment 47,20_perc,9,0.93
Subcatchment 47,20_perc,9.15,1.03
Subcatchment 47,20_perc,9.3,0.08
Subcatchment 47,20_perc,9.45,0.03
Subcatchment 47,20_perc,10,0.91
Subcatchment 47,20_perc,10.15,1.17
Subcatchment 47,20_perc,10.3,0.21
Subcatchment 47,20_perc,10.45,0.09
Subcatchment 47,20_perc,11,2.05
Subcatchment 47,30_perc,0.15,0
Subcatchment 47,30_perc,0.3,0
Subcatchment 47,30_perc,0.45,0
Subcatchment 47,30_perc,1,0
Subcatchment 47,30_perc,1.15,0
Subcatchment 47,30_perc,1.3,0
Subcatchment 47,30_perc,1.45,0
Subcatchment 47,30_perc,2,0
Subcatchment 47,30_perc,2.15,0
Subcatchment 47,30_perc,2.3,0
Subcatchment 47,30_perc,2.45,0
Subcatchment 47,30_perc,3,0
Subcatchment 47,30_perc,3.15,0
Subcatchment 47,30_perc,3.3,0
Subcatchment 47,30_perc,3.45,0
Subcatchment 47,30_perc,4,0
Subcatchment 47,30_perc,4.15,0
Subcatchment 47,30_perc,4.3,0
Subcatchment 47,30_perc,4.45,0
Subcatchment 47,30_perc,5,0
Subcatchment 47,30_perc,5.15,2.36
Subcatchment 47,30_perc,5.3,3.26
Subcatchment 47,30_perc,5.45,4.89
Subcatchment 47,30_perc,6,3.29
Subcatchment 47,30_perc,6.15,0.91
Subcatchment 47,30_perc,6.3,0.94
Subcatchment 47,30_perc,6.45,0.07
Subcatchment 47,30_perc,7,0.97
Subcatchment 47,30_perc,7.15,0.16
Subcatchment 47,30_perc,7.3,0.08
Subcatchment 47,30_perc,7.45,0.05
Subcatchment 47,30_perc,8,0.03
Subcatchment 47,30_perc,8.15,0.02
Subcatchment 47,30_perc,8.3,0.02
Subcatchment 47,30_perc,8.45,0.01
Subcatchment 47,30_perc,9,0.85
Subcatchment 47,30_perc,9.15,0.94
Subcatchment 47,30_perc,9.3,0.07
Subcatchment 47,30_perc,9.45,0.02
Subcatchment 47,30_perc,10,0.83
Subcatchment 47,30_perc,10.15,1.09
Subcatchment 47,30_perc,10.3,0.2
Subcatchment 47,30_perc,10.45,0.09
Subcatchment 47,30_perc,11,1.88
Subcatchment 47,50_perc,0.15,0
Subcatchment 47,50_perc,0.3,0
Subcatchment 47,50_perc,0.45,0
Subcatchment 47,50_perc,1,0
Subcatchment 47,50_perc,1.15,0
Subcatchment 47,50_perc,1.3,0
Subcatchment 47,50_perc,1.45,0
Subcatchment 47,50_perc,2,0
Subcatchment 47,50_perc,2.15,0
Subcatchment 47,50_perc,2.3,0
Subcatchment 47,50_perc,2.45,0
Subcatchment 47,50_perc,3,0
Subcatchment 47,50_perc,3.15,0
Subcatchment 47,50_perc,3.3,0
Subcatchment 47,50_perc,3.45,0
Subcatchment 47,50_perc,4,0
Subcatchment 47,50_perc,4.15,0
Subcatchment 47,50_perc,4.3,0
Subcatchment 47,50_perc,4.45,0
Subcatchment 47,50_perc,5,0
Subcatchment 47,50_perc,5.15,1.89
Subcatchment 47,50_perc,5.3,2.56
Subcatchment 47,50_perc,5.45,3.85
Subcatchment 47,50_perc,6,2.59
Subcatchment 47,50_perc,6.15,0.73
Subcatchment 47,50_perc,6.3,0.77
Subcatchment 47,50_perc,6.45,0.04
Subcatchment 47,50_perc,7,0.82
Subcatchment 47,50_perc,7.15,0.14
Subcatchment 47,50_perc,7.3,0.08
Subcatchment 47,50_perc,7.45,0.05
Subcatchment 47,50_perc,8,0.03
Subcatchment 47,50_perc,8.15,0.02
Subcatchment 47,50_perc,8.3,0.02
Subcatchment 47,50_perc,8.45,0.01
Subcatchment 47,50_perc,9,0.7
Subcatchment 47,50_perc,9.15,0.77
Subcatchment 47,50_perc,9.3,0.04
Subcatchment 47,50_perc,9.45,0.01
Subcatchment 47,50_perc,10,0.68
Subcatchment 47,50_perc,10.15,0.93
Subcatchment 47,50_perc,10.3,0.19
Subcatchment 47,50_perc,10.45,0.1
Subcatchment 47,50_perc,11,1.56
Subcatchment 60,0_perc,0.15,0
Subcatchment 60,0_perc,0.3,0
Subcatchment 60,0_perc,0.45,0
Subcatchment 60,0_perc,1,0
Subcatchment 60,0_perc,1.15,0
Subcatchment 60,0_perc,1.3,0
Subcatchment 60,0_perc,1.45,0
Subcatchment 60,0_perc,2,0
Subcatchment 60,0_perc,2.15,0
Subcatchment 60,0_perc,2.3,0
Subcatchment 60,0_perc,2.45,0
Subcatchment 60,0_perc,3,0
Subcatchment 60,0_perc,3.15,0
Subcatchment 60,0_perc,3.3,0
Subcatchment 60,0_perc,3.45,0
Subcatchment 60,0_perc,4,0
Subcatchment 60,0_perc,4.15,0
Subcatchment 60,0_perc,4.3,0
Subcatchment 60,0_perc,4.45,0
Subcatchment 60,0_perc,5,0
Subcatchment 60,0_perc,5.15,2.32
Subcatchment 60,0_perc,5.3,3.21
Subcatchment 60,0_perc,5.45,4.97
Subcatchment 60,0_perc,6,3.86
Subcatchment 60,0_perc,6.15,1.16
Subcatchment 60,0_perc,6.3,1.07
Subcatchment 60,0_perc,6.45,0.11
Subcatchment 60,0_perc,7,1.02
Subcatchment 60,0_perc,7.15,0.17
Subcatchment 60,0_perc,7.3,0.08
Subcatchment 60,0_perc,7.45,0.04
Subcatchment 60,0_perc,8,0.03
Subcatchment 60,0_perc,8.15,0.02
Subcatchment 60,0_perc,8.3,0.01
Subcatchment 60,0_perc,8.45,0.01
Subcatchment 60,0_perc,9,0.88
Subcatchment 60,0_perc,9.15,0.99
Subcatchment 60,0_perc,9.3,0.09
Subcatchment 60,0_perc,9.45,0.02
Subcatchment 60,0_perc,10,0.92
Subcatchment 60,0_perc,10.15,1.11
Subcatchment 60,0_perc,10.3,0.19
Subcatchment 60,0_perc,10.45,0.08
Subcatchment 60,0_perc,11,1.94
Subcatchment 60,20_perc,0.15,0
Subcatchment 60,20_perc,0.3,0
Subcatchment 60,20_perc,0.45,0
Subcatchment 60,20_perc,1,0
Subcatchment 60,20_perc,1.15,0
Subcatchment 60,20_perc,1.3,0
Subcatchment 60,20_perc,1.45,0
Subcatchment 60,20_perc,2,0
Subcatchment 60,20_perc,2.15,0
Subcatchment 60,20_perc,2.3,0
Subcatchment 60,20_perc,2.45,0
Subcatchment 60,20_perc,3,0
Subcatchment 60,20_perc,3.15,0
Subcatchment 60,20_perc,3.3,0
Subcatchment 60,20_perc,3.45,0
Subcatchment 60,20_perc,4,0
Subcatchment 60,20_perc,4.15,0
Subcatchment 60,20_perc,4.3,0
Subcatchment 60,20_perc,4.45,0
Subcatchment 60,20_perc,5,0
Subcatchment 60,20_perc,5.15,1.95
Subcatchment 60,20_perc,5.3,2.65
Subcatchment 60,20_perc,5.45,4.14
Subcatchment 60,20_perc,6,3.35
Subcatchment 60,20_perc,6.15,1.06
Subcatchment 60,20_perc,6.3,0.97
Subcatchment 60,20_perc,6.45,0.1
Subcatchment 60,20_perc,7,0.92
Subcatchment 60,20_perc,7.15,0.17
Subcatchment 60,20_perc,7.3,0.08
Subcatchment 60,20_perc,7.45,0.05
Subcatchment 60,20_perc,8,0.03
Subcatchment 60,20_perc,8.15,0.02
Subcatchment 60,20_perc,8.3,0.02
Subcatchment 60,20_perc,8.45,0.01
Subcatchment 60,20_perc,9,0.76
Subcatchment 60,20_perc,9.15,0.87
Subcatchment 60,20_perc,9.3,0.08
Subcatchment 60,20_perc,9.45,0.01
Subcatchment 60,20_perc,10,0.81
Subcatchment 60,20_perc,10.15,1
Subcatchment 60,20_perc,10.3,0.19
Subcatchment 60,20_perc,10.45,0.09
